"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"TIMOB-25749",69,2.0,68,2.0,1,0.0
"TIMOB-25748",20,13.0,19,13.0,1,0.0
"TIMOB-25744",249,13.0,247,"13.0",2,0.0
"TIMOB-25743",109,5.0,109,5.0,0,0.0
"TIMOB-25739",176,2.0,172,2.0,4,0.0
"TIMOB-25735",26,1.0,26,"3.0",0,-2.0
"TIMOB-25733",32,3.0,32,3.0,0,0.0
"TIMOB-25730",183,1.0,39,1.0,144,0.0
"TIMOB-25728",75,8.0,75,8.0,0,0.0
"TIMOB-25703",67,1.0,21,1.0,46,0.0
"TIMOB-25696",147,3.0,129,3.0,18,0.0
"TIMOB-25692",252,5.0,252,5.0,0,0.0
"TIMOB-25689",209,3.0,118,3.0,91,0.0
"TIMOB-25685",41,2.0,40,"2.0",1,0.0
"TIMOB-25684",49,5.0,49,5.0,0,0.0
"TIMOB-25679",1306,1.0,1306,1.0,0,0.0
"TIMOB-25672",52,-1.0,52,5.0,0,-6.0
"TIMOB-25671",94,13.0,94,13.0,0,0.0
"TIMOB-25668",96,5.0,96,5.0,0,0.0
"TIMOB-25667",104,1.0,104,1.0,0,0.0
"TIMOB-25660",216,-1.0,216,1.0,0,-2.0
"TIMOB-25656",30,3.0,28,3.0,2,0.0
"TIMOB-25652",369,3.0,369,3.0,0,0.0
"TIMOB-25650",92,8.0,86,8.0,6,0.0
"TIMOB-25649",64,5.0,64,5.0,0,0.0
"TIMOB-25648",36,13.0,36,"8.0",0,5.0
"TIMOB-25641",36,5.0,36,5.0,0,0.0
"TIMOB-25636",175,1.0,170,1.0,5,0.0
"TIMOB-25635",39,13.0,39,13.0,0,0.0
"TIMOB-25634",86,1.0,30,1.0,56,0.0
"TIMOB-25632",535,3.0,535,3.0,0,0.0
"TIMOB-25626",115,5.0,118,5.0,-3,0.0
"TIMOB-25625",107,1.0,107,1.0,0,0.0
"TIMOB-25621",27,3.0,26,3.0,1,0.0
"TIMOB-25620",54,8.0,54,8.0,0,0.0
"TIMOB-25619",256,5.0,254,5.0,2,0.0
"TIMOB-25617",54,3.0,54,3.0,0,0.0
"TIMOB-25616",57,5.0,54,5.0,3,0.0
"TIMOB-25611",20,4.0,20,4.0,0,0.0
"TIMOB-25610",121,5.0,121,5.0,0,0.0
"TIMOB-25607",25,5.0,25,5.0,0,0.0
"TIMOB-25606",30,5.0,30,5.0,0,0.0
"TIMOB-25602",107,5.0,100,5.0,7,0.0
"TIMOB-25599",1067,5.0,1067,"5.0",0,0.0
"TIMOB-25598",139,5.0,139,5.0,0,0.0
"TIMOB-25597",219,-1.0,219,"7.0",0,-8.0
"TIMOB-25595",46,5.0,46,5.0,0,0.0
"TIMOB-25590",60,2.0,59,2.0,1,0.0
"TIMOB-25582",52,8.0,52,"5.0",0,3.0
"TIMOB-25581",59,3.0,59,3.0,0,0.0
"TIMOB-25580",75,2.0,75,2.0,0,0.0
"TIMOB-25566",41,5.0,38,5.0,3,0.0
"TIMOB-25565",346,5.0,286,5.0,60,0.0
"TIMOB-25563",70,5.0,70,5.0,0,0.0
"TIMOB-25557",179,1.0,184,1.0,-5,0.0
"TIMOB-25554",97,-1.0,97,3.0,0,-4.0
"TIMOB-25552",211,1.0,212,1.0,-1,0.0
"TIMOB-25542",107,5.0,107,5.0,0,0.0
"TIMOB-25541",125,-1.0,125,3.0,0,-4.0
"TIMOB-25540",103,2.0,99,2.0,4,0.0
"TIMOB-25537",72,13.0,72,13.0,0,0.0
"TIMOB-25533",302,3.0,302,3.0,0,0.0
"TIMOB-25526",45,2.0,45,2.0,0,0.0
"TIMOB-25522",162,8.0,138,8.0,24,0.0
"TIMOB-25518",60,2.0,44,2.0,16,0.0
"TIMOB-25515",243,-1.0,243,1.0,0,-2.0
"TIMOB-25513",157,5.0,157,5.0,0,0.0
"TIMOB-25510",136,-1.0,136,1.0,0,-2.0
"TIMOB-25508",73,-1.0,73,1.0,0,-2.0
"TIMOB-25507",21,2.0,21,2.0,0,0.0
"TIMOB-25506",366,1.0,365,1.0,1,0.0
"TIMOB-25503",491,5.0,492,"8.0",-1,-3.0
"TIMOB-25487",100,3.0,100,3.0,0,0.0
"TIMOB-25485",60,5.0,60,5.0,0,0.0
"TIMOB-25483",102,-1.0,102,3.0,0,-4.0
"TIMOB-25482",89,5.0,89,5.0,0,0.0
"TIMOB-25477",150,-1.0,150,5.0,0,-6.0
"TIMOB-25471",385,2.0,385,2.0,0,0.0
"TIMOB-25469",102,3.0,101,3.0,1,0.0
"TIMOB-25468",144,2.0,143,2.0,1,0.0
"TIMOB-25467",54,-1.0,54,3.0,0,-4.0
"TIMOB-25463",106,5.0,106,5.0,0,0.0
"TIMOB-25462",80,3.0,46,3.0,34,0.0
"TIMOB-25451",82,1.0,81,1.0,1,0.0
"TIMOB-25448",61,-1.0,61,3.0,0,-4.0
"TIMOB-25442",55,-1.0,55,1.0,0,-2.0
"TIMOB-25441",12,5.0,12,5.0,0,0.0
"TIMOB-25440",1279,5.0,1285,5.0,-6,0.0
"TIMOB-25433",43,5.0,41,5.0,2,0.0
"TIMOB-25432",49,-1.0,49,3.0,0,-4.0
"TIMOB-25431",125,3.0,121,3.0,4,0.0
"TIMOB-25429",198,5.0,199,5.0,-1,0.0
"TIMOB-25420",82,-1.0,82,1.0,0,-2.0
