"EB","LINK","OB","STEP","TASK","created","has_ATTACHMENT","has_CODE","has_STACK","has_TESTCASE","issue_key","issuetype"
0,0,0,0,0,"2018-03-10T16:24:29.000+0000",False,False,False,False,"TIMOB-25856","Story"
0,0,0,0,1,"2018-03-06T22:21:55.000+0000",False,False,False,False,"TIMOB-25844","Improvement"
0,0,0,0,0,"2018-03-06T11:57:19.000+0000",False,True,False,False,"TIMOB-25843","Bug"
0,0,0,0,0,"2018-03-02T08:18:20.000+0000",True,False,False,False,"TIMOB-25835","Bug"
0,2,0,0,0,"2018-03-01T21:56:45.000+0000",False,False,False,False,"TIMOB-25829","Bug"
1,0,1,1,0,"2018-03-01T16:53:09.000+0000",False,True,False,False,"TIMOB-25827","Bug"
1,0,1,2,0,"2018-03-01T11:00:15.000+0000",False,True,False,False,"TIMOB-25825","Bug"
0,1,0,10,0,"2018-02-22T10:17:47.000+0000",True,False,False,False,"TIMOB-25810","Bug"
0,0,0,0,0,"2018-02-24T12:02:27.000+0000",False,True,False,False,"TIMOB-25805","Bug"
0,1,1,2,0,"2018-02-23T01:41:34.000+0000",False,True,False,False,"TIMOB-25799","Bug"
0,0,2,1,5,"2018-02-22T21:47:33.000+0000",False,True,False,False,"TIMOB-25797","Bug"
1,0,1,3,0,"2018-02-21T18:15:36.000+0000",False,True,False,False,"TIMOB-25794","Bug"
1,0,0,4,0,"2018-02-21T02:33:59.000+0000",False,True,False,False,"TIMOB-25792","Bug"
0,1,0,0,0,"2018-02-20T07:30:45.000+0000",False,True,True,False,"TIMOB-25789","Bug"
0,0,0,0,0,"2018-02-14T09:58:19.000+0000",False,True,False,False,"TIMOB-25780","Bug"
