"issue_key","storypoints","issuetype","time_in_status"
"XD-2427",1.0,"Story",287.00806
"XD-2425",5.0,"Bug",122.89639
"XD-2424",5.0,"Story",0.0025
"XD-2423",1.0,"Bug",28.20917
"XD-2422",1.0,"Story",48.23028
"XD-2416",1.0,"Bug",35.17556
"XD-2412",2.0,"Story",0.03083
"XD-2411",5.0,"Story",72.99806
"XD-2410",1.0,"Story",0.00222
"XD-2409",1.0,"Bug",66.86861
"XD-2408",1.0,"Bug",2.25639
"XD-2406",3.0,"Story",507.21389
"XD-2404",3.0,"Story",580.34278
"XD-2403",5.0,"Story",2067.81333
"XD-2401",5.0,"Story",120.40306
"XD-2397",3.0,"Story",145.86139
"XD-2389",2.0,"Improvement",67.33472
"XD-2388",8.0,"Story",0.01111
"XD-2387",5.0,"Story",237.4825
"XD-2386",3.0,"Story",267.42833
"XD-2384",3.0,"Story",816.69306
"XD-2382",8.0,"Story",161.54722
"XD-2381",8.0,"Story",456.91944
"XD-2378",5.0,"Story",512.355
"XD-2377",1.0,"Bug",258.94389
"XD-2375",8.0,"Story",103.2375
"XD-2370",1.0,"Story",4.59083
"XD-2368",8.0,"Story",57.90194
"XD-2361",8.0,"Story",79.66472
"XD-2360",8.0,"Story",133.77611
"XD-2358",8.0,"Story",133.76639
"XD-2351",8.0,"Story",120.04361
"XD-2345",5.0,"Bug",22.58083
"XD-2344",3.0,"Bug",30.68389
"XD-2342",3.0,"Bug",356.19139
"XD-2340",3.0,"Story",29.50472
"XD-2339",5.0,"Story",92.30167
"XD-2335",1.0,"Story",0.00083
"XD-2334",2.0,"Story",0.03694
"XD-2333",8.0,"Story",222.99444
"XD-2332",5.0,"Story",334.99639
"XD-2331",5.0,"Bug",417.80667
"XD-2326",3.0,"Bug",147.6
"XD-2323",3.0,"Bug",22.67
"XD-2322",3.0,"Bug",0.0125
"XD-2321",4.0,"Story",47.87778
"XD-2320",4.0,"Story",167.01778
"XD-2319",1.0,"Story",187.28
"XD-2316",3.0,"Bug",23.70667
"XD-2315",3.0,"Story",165.10028
"XD-2309",5.0,"Improvement",414.5325
"XD-2308",8.0,"Story",244.72611
"XD-2307",3.0,"Story",214.25917
"XD-2306",8.0,"Story",732.1575
"XD-2304",8.0,"Story",154.65222
"XD-2302",4.0,"Story",0.03944
"XD-2301",8.0,"Story",176.58694
"XD-2299",8.0,"Story",27.31056
"XD-2298",5.0,"Story",50.88472
"XD-2296",2.0,"Story",118.54111
"XD-2283",5.0,"Story",208.45194
"XD-2280",3.0,"Story",208.42111
"XD-2279",2.0,"Story",208.4025
"XD-2278",3.0,"Story",208.38083
