"issue_key","storypoints","issuetype","time_in_status"
"TISTUD-7128",8.0,"Story",163.56306
"TISTUD-7127",8.0,"Story",116.78028
"TISTUD-7125",8.0,"Story",129.32194
"TISTUD-7123",8.0,"Bug",75.84778
"TISTUD-7122",8.0,"Improvement",49.44111
"TISTUD-7112",5.0,"Story",146.0325
"TISTUD-7111",5.0,"Story",177.00667
"TISTUD-7109",8.0,"Story",20.83639
"TISTUD-7108",8.0,"Story",24.08667
"TISTUD-7096",8.0,"Story",291.08389
"TISTUD-7087",3.0,"Story",0.95444
"TISTUD-7085",5.0,"Bug",8.44972
"TISTUD-7076",3.0,"Improvement",6.74667
"TISTUD-7066",3.0,"Bug",1.65778
"TISTUD-7061",3.0,"Bug",1.57639
"TISTUD-7057",8.0,"Improvement",409.69306
"TISTUD-7056",5.0,"Bug",20.38778
"TISTUD-7055",5.0,"Bug",0.0275
"TISTUD-7052",5.0,"Bug",0.82917
"TISTUD-7051",8.0,"Bug",720.15639
"TISTUD-7044",8.0,"Improvement",437.88111
"TISTUD-7043",8.0,"Bug",91.87611
"TISTUD-7039",8.0,"Bug",0.24278
"TISTUD-7032",5.0,"Bug",4.40833
"TISTUD-7028",8.0,"Story",53.02417
"TISTUD-7018",8.0,"Bug",49.57889
"TISTUD-7015",5.0,"Bug",0.26722
"TISTUD-7012",5.0,"Story",2.83056
"TISTUD-7011",5.0,"Story",124.08306
"TISTUD-7010",5.0,"Story",23.50028
"TISTUD-7009",5.0,"Bug",0.01333
"TISTUD-7007",5.0,"Improvement",136.17417
"TISTUD-7005",8.0,"Improvement",381.72111
"TISTUD-7002",5.0,"Bug",93.11083
"TISTUD-7001",3.0,"Bug",0.1625
"TISTUD-7000",8.0,"Story",126.21611
"TISTUD-6997",8.0,"Story",30.2125
"TISTUD-6995",5.0,"Bug",29.95667
"TISTUD-6980",5.0,"Improvement",0.88611
"TISTUD-6979",5.0,"Bug",21.28167
"TISTUD-6978",8.0,"Improvement",94.29889
"TISTUD-6974",5.0,"Improvement",5.48028
"TISTUD-6972",8.0,"Bug",0.00194
"TISTUD-6969",5.0,"Bug",0.88333
